"Production_Budget_USD","Worldwide_Gross_USD"
110000,1.1e+07
2e+05,8e+06
1e+05,3e+06
245000,2.2e+07
3900000,9e+06
379000,4358000
558000,9e+05
672000,10000650
2e+05,2e+06
439000,2281000
325000,2500000
609000,3202000
1500000,165049
1300000,5273000
1488000,184925485
2e+06,4e+06
1644000,4e+06
1500000,9e+06
2777000,33754967
3900000,390525192
2e+06,9172000
1288000,6e+06
2280000,83320000
858000,2.68e+08
134000,8e+06
1039000,10462500
2627000,5363000
2361000,3500000
5200000,2e+06
2160000,9132000
1250000,1.1e+07
1500000,7e+06
3180000,9576159
2e+06,24464742
2100000,23600000
6e+06,20400000
2e+06,7800000
3700000,2956000
3e+06,9012000
1600000,5400000
1e+06,7800000
2900000,263591415
3768785,8e+06
8250000,30022000
1200000,7e+06
1800000,8e+06
2300000,1.1e+07
730000,8e+06
4e+06,3.6e+07
2540000,7200000
1250000,2500000
4e+06,87400000
1650000,30500000
210000,5e+06
5e+06,3.6e+07
658000,23800000
5e+06,1.5e+07
910000,9600000
5e+06,28200000
1200000,7e+06
6e+06,12500000
4500000,10400000
4e+06,14400000
1e+06,9e+06
3380000,3220
13500000,8e+07
6e+06,4.2e+07
5e+05,271736
1200000,2e+06
5e+06,11014685
3e+06,33300000
3e+06,17570324
5e+06,1.1e+07
3500000,12800000
2883848,2.5e+07
1.5e+07,7.3e+07
4e+06,21750000
3e+06,24600000
3e+06,10400000
1.2e+07,6e+07
1.2e+07,7900000
4e+06,8200000
3e+06,1e+07
2900000,5e+06
2e+06,7600000
6e+06,43700000
3200000,8e+06
2e+06,9250000
1e+07,50100000
1.9e+07,13680000
4500000,3500000
1.5e+07,69995385
2e+06,13129846
1.7e+07,1e+07
2686000,6600000
2500000,1e+07
1e+06,37600000
9400000,6e+07
1e+06,59567035
4e+06,11744471
4.2e+07,7.1e+07
1.9e+07,4750000
1800000,9164370
2e+06,78900000
6e+06,102300000
1.7e+07,72070955
560000,1597233
3e+06,124900000
8200000,286214286
2e+07,15473333
5800000,6800000
3800000,14873
1.1e+07,111859493
9e+06,141200000
3500000,1.2e+07
3e+06,1.3e+07
1.5e+07,34562222
3900000,28350000
3500000,13007551
2e+05,3500000
2e+06,24391108
1.2e+07,41744718
9500000,111600000
6e+05,4300000
1200000,6100000
1455000,2620000
114000,3e+07
10500000,68700000
1800000,6800000
747000,44566
5800000,33395426
1e+07,37402877
3200000,33395426
2e+07,8e+06
3600000,44785053
5e+06,5321508
6e+06,509424
2e+05,2.5e+07
2e+07,31678778
6e+06,102308900
2.4e+07,33208099
8e+06,8.2e+07
4e+06,6e+06
2.2e+07,5e+06
1.2e+07,62500000
1.1e+07,2200000
3500000,81600000
1e+06,9e+06
6e+05,34505110
3716946,5e+06
3e+06,17489009
1.8e+07,24911670
2.5e+07,29548291
9e+06,80500000
6500000,12376563
2500000,12300000
150000,15200000
3e+06,4e+06
2200000,41158757
7200000,1.16e+08
1700000,9700000
7e+06,268500000
3500000,12600000
25000,4.5e+07
87000,3100000
2e+06,18016290
1800000,8800000
4638783,1.1e+07
7e+06,161800000
5500000,15700000
777000,1.4e+08
2e+06,18344729
5500000,159616327
1.2e+07,400214478
2600000,119500000
7e+06,26533200
1600000,4420000
140000,26572439
1.3e+07,57300000
5e+05,31559560
2800000,86300000
1.4e+07,139700000
4e+06,1.5e+07
7e+06,97600000
1.1e+07,20169934
5e+06,41833347
1.2e+07,470700000
1200000,140556781
4e+05,5028948
3e+06,20123742
4400000,108981275
7e+06,2.5e+07
3800000,23689877
1200000,887000
4400000,36145695
2800000,48570885
1e+06,28316211
3e+06,13200000
5e+06,8e+06
1800000,25878153
1e+06,2.25e+08
2.3e+07,90614445
5e+05,1.7e+07
1e+05,7012524
1e+07,3.6e+07
4e+06,38251425
7e+06,1e+06
1.1e+07,786598007
2.6e+07,50800000
1.4e+07,25011000
1.4e+07,13800000
21600000,1.2e+07
1.4e+07,185400000
6e+05,2e+07
2e+07,337700000
3400000,31063038
1.4e+07,1e+06
1.2e+07,1.9e+07
3e+06,32653000
1.1e+07,20388920
2e+07,208900376
6e+06,387513770
